,Unnamed: 0,name,birthday,year,month,day,星座,财富值（亿美元）
0,0.0,Jeff Bezos,1964-01-12,1964.0,1.0,12.0,摩羯,1120
1,1.0,Bill Gates,1955-10-28,1955.0,10.0,28.0,天蝎,900
2,2.0,Warren Buffett,1930-08-30,1930.0,8.0,30.0,处女,840
3,3.0,Bernard Arnault,1949-03-05,1949.0,3.0,5.0,双鱼,720
4,4.0,Mark Zuckerberg,1984-05-14,1984.0,5.0,14.0,金牛,710
5,5.0,Amancio Ortega,1936-03-28,1936.0,3.0,28.0,白羊,700
6,6.0,Carlos Slim Helu,1940-01-28,1940.0,1.0,28.0,水瓶,671
7,7.0,Charles Koch,1935-11-01,1935.0,11.0,1.0,天蝎,600
8,8.0,David Koch,1940-05-03,1940.0,5.0,3.0,金牛,600
9,9.0,Larry Ellison,1944-08-17,1944.0,8.0,17.0,狮子,585
10,10.0,Michael Bloomberg,1942-02-14,1942.0,2.0,14.0,水瓶,500
11,11.0,Larry Page,1973-03-26,1973.0,3.0,26.0,白羊,488
12,12.0,Sergey Brin,1973-08-21,1973.0,8.0,21.0,狮子,475
13,13.0,Jim Walton,1948-06-07,1948.0,6.0,7.0,双子,464
14,14.0,S. Robson Walton,1944-10-28,1944.0,10.0,28.0,天蝎,462
15,15.0,Alice Walton,1949-10-07,1949.0,10.0,7.0,天秤,460
16,16.0,Ma Huateng,1971-10-29,1971.0,10.0,29.0,天蝎,453
17,17.0,Francoise Bettencourt Meyers,1953-07-10,1953.0,7.0,10.0,巨蟹,422
18,18.0,Mukesh Ambani,1957-04-19,1957.0,4.0,19.0,白羊,401
19,19.0,Jack Ma,1964-09-10,1964.0,9.0,10.0,处女,390
20,20.0,Sheldon Adelson,1933-08-04,1933.0,8.0,4.0,狮子,385
21,21.0,Steve Ballmer,1956-03-24,1956.0,3.0,24.0,白羊,384
22,22.0,Li Ka-shing,1928-06-13,1928.0,6.0,13.0,双子,349
23,23.0,Hui Ka Yan,1958-10-09,1958.0,10.0,9.0,天秤,303
24,24.0,Lee Shau Kee,1929-03-07,1929.0,3.0,7.0,双鱼,303
25,25.0,Wang Jianlin,1954-10-24,1954.0,10.0,24.0,天蝎,300
26,26.0,Phil Knight,1938-02-24,1938.0,2.0,24.0,双鱼,298
27,27.0,Jorge Paulo Lemann,1939-08-26,1939.0,8.0,26.0,处女,296
28,28.0,Francois Pinault,1936-08-21,1936.0,8.0,21.0,狮子,274
29,29.0,Georg Schaeffler,1964-10-19,1964.0,10.0,19.0,天秤,270
30,30.0,Susanne Klatten,1962-04-28,1962.0,4.0,28.0,金牛,253
31,31.0,Jacqueline Mars,1939-10-10,1939.0,10.0,10.0,天秤,250
32,32.0,Giovanni Ferrero,1964-09-21,1964.0,9.0,21.0,处女,250
33,33.0,Dietrich Mateschitz,1944-05-20,1944.0,5.0,20.0,金牛,236
34,34.0,Michael Dell,1965-02-23,1965.0,2.0,23.0,双鱼,236
35,35.0,Masayoshi Son,1957-08-11,1957.0,8.0,11.0,狮子,235
36,36.0,Serge Dassault,1925-04-04,1925.0,4.0,4.0,白羊,230
37,37.0,Stefan Quandt,1966-05-09,1966.0,5.0,9.0,金牛,230
38,38.0,Paul Allen,1953-01-21,1953.0,1.0,21.0,水瓶,227
39,39.0,Leonardo Del Vecchio,1935-05-22,1935.0,5.0,22.0,双子,227
40,40.0,Dieter Schwarz,1939-09-24,1939.0,9.0,24.0,天秤,226
41,41.0,Len Blavatnik,1957-06-14,1957.0,6.0,14.0,双子,220
42,42.0,James Simons,1938-04-25,1938.0,4.0,25.0,金牛,219
43,43.0,Henry Sy,1924-10-25,1924.0,10.0,25.0,天蝎,217
44,44.0,Elon Musk,1971-06-28,1971.0,6.0,28.0,巨蟹,212
45,45.0,Tadashi Yanai,1949-02-07,1949.0,2.0,7.0,水瓶,209
46,46.0,Vladimir Lisin,1956-05-07,1956.0,5.0,7.0,金牛,203
47,47.0,Laurene Powell Jobs,1963-11-06,1963.0,11.0,6.0,天蝎,202
48,48.0,Azim Premji,1945-07-24,1945.0,7.0,24.0,狮子,202
49,49.0,Alexey Mordashov,1965-09-26,1965.0,9.0,26.0,天秤,201
50,50.0,Lee Kun-Hee,1942-01-09,1942.0,1.0,9.0,摩羯,201
51,51.0,Lakshmi Mittal,1950-06-15,1950.0,6.0,15.0,双子,200
52,52.0,Leonid Mikhelson,1955-08-11,1955.0,8.0,11.0,狮子,200
53,53.0,Charoen Sirivadhanabhakdi,1944-05-02,1944.0,5.0,2.0,金牛,199
54,54.0,Ray Dalio,1949-08-08,1949.0,8.0,8.0,狮子,195
55,55.0,Takemitsu Takizaki,1945-06-10,1945.0,6.0,10.0,双子,195
56,56.0,William Ding,1971-10-01,1971.0,10.0,1.0,天秤,191
57,57.0,Gina Rinehart,1954-02-09,1954.0,2.0,9.0,水瓶,188
58,58.0,German Larrea Mota Velasco,1941-07-08,1941.0,7.0,8.0,巨蟹,188
59,59.0,Carl Icahn,1936-02-16,1936.0,2.0,16.0,水瓶,187
60,60.0,Michael Hartono,1939-10-02,1939.0,10.0,2.0,天秤,186
61,61.0,Joseph Lau,1951-07-21,1951.0,7.0,21.0,巨蟹,185
62,62.0,Vagit Alekperov,1950-09-01,1950.0,9.0,1.0,处女,182
63,63.0,James Ratcliffe,1952-10-18,1952.0,10.0,18.0,天秤,180
64,64.0,Donald Bren,1932-05-11,1932.0,5.0,11.0,金牛,179
65,65.0,Gennady Timchenko,1952-11-09,1952.0,11.0,9.0,天蝎,178
66,66.0,Abigail Johnson,1961-12-19,1961.0,12.0,19.0,射手,177
67,67.0,Vladimir Potanin,1961-01-03,1961.0,1.0,3.0,摩羯,175
68,68.0,Charlene de Carvalho-Heineken,1954-06-30,1954.0,6.0,30.0,巨蟹,174
69,69.0,Zhang Zhidong,1837-09-04,1837.0,9.0,4.0,处女,174
70,70.0,Petr Kellner,1964-05-20,1964.0,5.0,20.0,金牛,174
71,71.0,Andrey Melnichenko,1972-03-08,1972.0,3.0,8.0,双鱼,173
72,72.0,Klaus-Michael Kuehne,1937-06-02,1937.0,6.0,2.0,双子,168
73,73.0,Li Shufu,1963-06-25,1963.0,6.0,25.0,巨蟹,168
74,74.0,Mikhail Fridman,1964-04-21,1964.0,4.0,21.0,金牛,167
75,75.0,Rupert Murdoch,1931-03-11,1931.0,3.0,11.0,双鱼,167
76,76.0,Dhanin Chearavanont,1939-04-19,1939.0,4.0,19.0,白羊,165
77,77.0,Robert Kuok,1923-10-06,1923.0,10.0,6.0,天秤,164
78,78.0,Emmanuel Besnier,1970-09-18,1970.0,9.0,18.0,处女,164
79,79.0,Shiv Nadar,1945-07-14,1945.0,7.0,14.0,巨蟹,163
80,80.0,Viktor Vekselberg,1957-04-14,1957.0,4.0,14.0,白羊,163
81,81.0,Aliko Dangote,1957-04-10,1957.0,4.0,10.0,白羊,160
82,82.0,Harold Hamm,1945-12-11,1945.0,12.0,11.0,射手,159
83,83.0,Steve Cohen,1949-05-24,1949.0,5.0,24.0,双子,159
84,84.0,Dustin Moskovitz,1984-05-22,1984.0,5.0,22.0,双子,159
85,85.0,Marcel Herrmann Telles,1950-02-23,1950.0,2.0,23.0,双鱼,158
86,86.0,Reinhold Wuerth,1935-04-20,1935.0,4.0,20.0,金牛,156
87,87.0,Charles Ergen,1953-03-01,1953.0,3.0,1.0,双鱼,155
88,88.0,Eric Schmidt,1955-04-27,1955.0,4.0,27.0,金牛,155
89,89.0,Philip Anschutz,1939-12-28,1939.0,12.0,28.0,摩羯,155
90,90.0,Alain Wertheimer,1948-04-17,1948.0,4.0,17.0,白羊,153
91,91.0,Gerard Wertheimer,1951-04-17,1951.0,4.0,17.0,白羊,153
92,92.0,Leonard Lauder,1933-03-19,1933.0,3.0,19.0,双鱼,151
93,93.0,Dilip Shanghvi,1955-10-01,1955.0,10.0,1.0,天秤,150
94,94.0,Hasso Plattner,1944-01-21,1944.0,1.0,21.0,水瓶,149
95,95.0,Stephen Schwarzman,1947-02-14,1947.0,2.0,14.0,水瓶,148
96,96.0,Lei Jun,1969-12-16,1969.0,12.0,16.0,射手,147
97,97.0,Hans Rausing,1926-03-25,1926.0,3.0,25.0,白羊,146
98,98.0,Alisher Usmanov,1953-09-09,1953.0,9.0,9.0,处女,144
99,99.0,Peter Woo,1946-09-05,1946.0,9.0,5.0,处女,141
100,100.0,Luis Carlos Sarmiento,1933-01-27,1933.0,1.0,27.0,水瓶,141
101,101.0,Robin Li,1968-11-17,1968.0,11.0,17.0,天蝎,140
102,102.0,Seo Jung-Jin,1989-09-06,1989.0,9.0,6.0,处女,140
103,103.0,Kumar Birla,1967-06-14,1967.0,6.0,14.0,双子,140
104,104.0,Alexander Otto,1988-01-28,1988.0,1.0,28.0,水瓶,136
105,105.0,Stefano Pessina,1941-06-04,1941.0,6.0,4.0,双子,134
106,106.0,Andrew Beal,1952-11-29,1952.0,11.0,29.0,射手,134
107,107.0,John Menard Jr.,1940-01-22,1940.0,1.0,22.0,水瓶,130
108,108.0,Zhou Hongyi,1970-10-04,1970.0,10.0,4.0,天秤,130
109,109.0,David Tepper,1957-09-11,1957.0,9.0,11.0,处女,130
110,110.0,Roman Abramovich,1966-10-24,1966.0,10.0,24.0,天蝎,130
111,111.0,Alberto Bailleres Gonzalez,1931-08-22,1931.0,8.0,22.0,狮子,130
112,112.0,Uday Kotak,1959-03-15,1959.0,3.0,15.0,双鱼,129
113,113.0,Pierre Omidyar,1967-06-21,1967.0,6.0,21.0,双子,129
114,114.0,Dietmar Hopp,1940-04-26,1940.0,4.0,26.0,金牛,128
115,115.0,Eduardo Saverin,1982-03-19,1982.0,3.0,19.0,双鱼,127
116,116.0,Radhakishan Damani,2002-05-15,2002.0,5.0,15.0,金牛,126
117,117.0,German Khan,1961-10-24,1961.0,10.0,24.0,天蝎,125
118,118.0,Ronald Perelman,1943-01-01,1943.0,1.0,1.0,摩羯,125
119,119.0,Gautam Adani,1962-06-24,1962.0,6.0,24.0,巨蟹,125
120,120.0,Micky Arison,1949-06-29,1949.0,6.0,29.0,巨蟹,123
121,121.0,Mikhail Prokhorov,1965-05-03,1965.0,5.0,3.0,金牛,122
122,122.0,Galen Weston,1940-10-29,1940.0,10.0,29.0,天蝎,121
123,123.0,Herbert Kohler Jr.,1939-02-20,1939.0,2.0,20.0,双鱼,120
124,124.0,Viktor Rashnikov,1948-10-13,1948.0,10.0,13.0,天秤,120
125,125.0,Harry Triguboff,1933-03-03,1933.0,3.0,3.0,双鱼,119
126,126.0,Jan Koum,1976-02-24,1976.0,2.0,24.0,双鱼,118
127,127.0,James Goodnight,1943-01-06,1943.0,1.0,6.0,摩羯,118
128,128.0,Giorgio Armani,1934-07-11,1934.0,7.0,11.0,巨蟹,118
129,129.0,Ernesto Bertarelli,1965-09-22,1965.0,9.0,22.0,处女,117
130,130.0,Savitri Jindal,1950-03-20,1950.0,3.0,20.0,双鱼,117
131,131.0,Sunil Mittal,1950-03-20,1950.0,3.0,20.0,双鱼,116
132,132.0,James Chambers,1957-10-23,1957.0,10.0,23.0,天秤,116
133,133.0,Gordon Moore,1950-10-08,1950.0,10.0,8.0,天秤,115
134,134.0,James Irving,1929-01-03,1929.0,1.0,3.0,摩羯,113
135,135.0,Melker Schorling,1947-07-29,1947.0,7.0,29.0,狮子,113
136,136.0,Johann Graf,1947-05-15,1947.0,5.0,15.0,金牛,112
137,137.0,Xavier Niel,1941-03-07,1941.0,3.0,7.0,双鱼,110
138,138.0,Silvio Berlusconi,1967-08-25,1967.0,8.0,25.0,处女,110
139,139.0,Carl Cook,1936-09-29,1936.0,9.0,29.0,天秤,108
140,140.0,Hui Wing Mau,1943-02-21,1943.0,2.0,21.0,双鱼,108
141,141.0,Edward Johnson III,1930-08-12,1930.0,8.0,12.0,狮子,108
142,142.0,Massimiliana Landini Aleotti,1930-06-29,1930.0,6.0,29.0,巨蟹,107
143,143.0,Patrick Soon-Shiong,1942-07-29,1942.0,7.0,29.0,狮子,107
144,144.0,Zhou Qunfei,1952-07-29,1952.0,7.0,29.0,狮子,105
145,145.0,Sun Piaoyang,1945-06-08,1945.0,6.0,8.0,双子,103
146,146.0,Stephen Ross,1962-10-15,1962.0,10.0,15.0,天秤,102
147,147.0,Pauline MacMillan Keinath,1952-04-01,1952.0,4.0,1.0,白羊,101
148,148.0,Jay Y. Lee,1934-07-31,1934.0,7.0,31.0,狮子,101
149,149.0,Anders Holch Povlsen,1968-06-23,1968.0,6.0,23.0,巨蟹,101
150,150.0,Michael Kadoorie,1933-06-06,1933.0,6.0,6.0,双子,100
151,151.0,Frederik Paulsen,1963-12-05,1963.0,12.0,5.0,射手,98
152,152.0,Shahid Khan,1949-02-08,1949.0,2.0,8.0,水瓶,98
153,153.0,Ananda Krishnan,1950-07-18,1950.0,7.0,18.0,巨蟹,97
154,154.0,Carrie Perrodo,1938-04-01,1938.0,4.0,1.0,白羊,97
155,155.0,Patrick Drahi,1951-06-29,1951.0,6.0,29.0,巨蟹,97
156,156.0,Suh Kyung-Bae,1955-10-19,1955.0,10.0,19.0,天秤,97
157,157.0,John Fredriksen,1958-08-03,1958.0,8.0,3.0,狮子,96
158,158.0,Goh Cheng Liang,1944-05-10,1944.0,5.0,10.0,金牛,96
159,159.0,Lu Zhiqiang,1952-08-11,1952.0,8.0,11.0,狮子,95
160,160.0,Johann Rupert,1960-02-12,1960.0,2.0,12.0,水瓶,95
161,161.0,Jacques Saade,1950-06-01,1950.0,6.0,1.0,双子,94
162,162.0,Wu Shaoxun,1937-02-07,1937.0,2.0,7.0,水瓶,94
163,163.0,Kim Jung-Ju,1956-04-05,1956.0,4.0,5.0,白羊,93
164,164.0,Michael Platt,1928-10-01,1928.0,10.0,1.0,天秤,93
165,165.0,Chan Laiwa,1984-03-23,1984.0,3.0,23.0,白羊,93
166,166.0,Tsai Eng-Meng,1966-11-22,1966.0,11.0,22.0,天蝎,92
167,167.0,Oleg Deripaska,1955-09-30,1955.0,9.0,30.0,天秤,92
168,168.0,Liu Yongxing,1968-01-02,1968.0,1.0,2.0,摩羯,92
169,169.0,John Grayken,1972-02-17,1972.0,2.0,17.0,水瓶,91
170,170.0,Augusto & Giorgio Perfetti,1948-12-18,1948.0,12.0,18.0,射手,91
171,171.0,Nassef Sawiris,1951-09-11,1951.0,9.0,11.0,处女,90
172,172.0,Aloys Wobben,1929-01-10,1929.0,1.0,10.0,摩羯,90
173,173.0,Leon Black,1952-01-22,1952.0,1.0,22.0,水瓶,89
174,174.0,John Paulson,1957-01-07,1957.0,1.0,7.0,摩羯,89
175,175.0,Wei Jianjun,1955-12-14,1955.0,12.0,14.0,射手,88
176,176.0,Jason Jiang,1932-09-29,1932.0,9.0,29.0,天秤,88
177,177.0,Ian & Richard Livingstone,1966-03-12,1966.0,3.0,12.0,双鱼,87
178,178.0,John A. Sobrato,1931-11-15,1931.0,11.0,15.0,天蝎,87
179,179.0,Guenther Fielmann,1972-08-04,1972.0,8.0,4.0,狮子,87
180,180.0,Daniel Gilbert,1939-09-17,1939.0,9.0,17.0,处女,85
181,181.0,Vikram Lal,1943-09-06,1943.0,9.0,6.0,处女,85
182,182.0,Maria-Elisabeth Schaeffler,1936-07-12,1936.0,7.0,12.0,巨蟹,83
183,183.0,Robert Kraft,1944-10-19,1944.0,10.0,19.0,天秤,83
184,184.0,Ralph Lauren,1941-06-05,1941.0,6.0,5.0,双子,82
185,185.0,Bruno Schroder,1939-10-14,1939.0,10.0,14.0,天秤,81
186,186.0,Pierre Bellon,1944-02-15,1944.0,2.0,15.0,水瓶,81
187,187.0,Les Wexner,1930-01-24,1930.0,1.0,24.0,水瓶,81
188,188.0,Benu Gopal Bangur,1937-09-08,1937.0,9.0,8.0,处女,81
189,189.0,Ma Jianrong,1951-03-29,1951.0,3.0,29.0,白羊,80
190,190.0,Dan Olsson,1929-09-25,1929.0,9.0,25.0,天秤,80
191,191.0,Ralph Dommermuth,1963-05-02,1963.0,5.0,2.0,金牛,80
192,192.0,Wolfgang Marguerre,1930-10-22,1930.0,10.0,22.0,天秤,80
